Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
5,1573999882641,17/11/2019 14:11:22,1573999885899,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1573999882641,17/11/2019 14:11:22,1573999885900,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,2
7,1573999882641,17/11/2019 14:11:22,1573999885900,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,2
8,1573999882641,17/11/2019 14:11:22,1573999885901,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,2
9,1573999882641,17/11/2019 14:11:22,1573999885901,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,2
10,1573999882641,17/11/2019 14:11:22,1573999885902,0,17/11/2019 14:11:25,10226,2,questionnaire-3aa4,,3348339,p108,912126,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1366x768,1349x657,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,26284
1,1574889429114,27/11/2019 21:17:09,1574889428372,0,27/11/2019 21:17:08,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1574889457661,27/11/2019 21:17:37,1574889456965,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,6
3,1574889457770,27/11/2019 21:17:37,1574889456966,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,6
4,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,6
5,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,6
6,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,2
7,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,2
8,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,2
9,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,2
10,1574889457770,27/11/2019 21:17:37,1574889456967,0,27/11/2019 21:17:36,10226,2,questionnaire-3aa4,,3431837,p106,935425,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,28596
1,1575201223487,01/12/2019 11:53:43,1575201223355,0,01/12/2019 11:53:43,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
