Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
4,1574172342015,19/11/2019 14:05:42,1574172518512,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,7
5,1574172342015,19/11/2019 14:05:42,1574172518515,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,7
6,1574172342015,19/11/2019 14:05:42,1574172518518,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1574172342015,19/11/2019 14:05:42,1574172518520,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
8,1574172342015,19/11/2019 14:05:42,1574172518523,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1574172342015,19/11/2019 14:05:42,1574172518526,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1574172342015,19/11/2019 14:05:42,1574172518528,0,19/11/2019 14:08:38,9424,11,questionnaire-9476,,3368298,p111,916955,,complete,,,computer,Desktop or Laptop,Mac OS 10.10,Firefox 70.0,1280x800,1280x599,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,10558
1,1574179629330,19/11/2019 16:07:09,1574179629228,0,19/11/2019 16:07:09,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1574179642419,19/11/2019 16:07:22,1574179642370,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,5
3,1574179642512,19/11/2019 16:07:22,1574179642371,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,5
